,area,perimeter,,equi_diameter,average_rect,,aspect_ratio,rectangularity,circularity,compactness,,color_mean,color_std,contrast,correlation,inverse_difference_moments,entropy
0,119620.0,1486.2194654941559,0,390,2040,1,1.0754716981132075,1.6163183414144793,18.465543384164306,0.6805307784842036,2,537,134,5.865308969252578,0.9983913942198114,0.8951591716645306,6.873434674817114
0,151160.5,1703.9179513454437,0,438,2250,1,1.6449086161879896,1.5962503431782773,19.206977913656374,0.6542606895707598,2,537,143,11.679490467274965,0.9971244389634183,0.8469233275741277,6.9726519583929365
0,201234.5,2033.1038056612015,0,506,2374,1,1.310734463276836,1.8365439325761737,20.540767535358306,0.6117770717539046,2,518,159,9.778362606925393,0.9980806035383735,0.8268222585557418,7.113621401764015
0,256895.0,2320.48352766037,0,571,2548,1,1.2331189710610932,1.8570777944296308,20.960485031406275,0.5995267092116557,2,502,171,8.817751804617913,0.9984477671369968,0.8255374015034953,7.5105064140055635
0,10446.0,499.36247992515564,0,115,2381,1,0.7888198757763976,1.9573999617078308,23.871614623492388,0.5264147738876629,2,457,199,13.932875502677895,0.998224953548534,0.7394239306194474,8.665822599385642
0,273001.0,2167.346448302269,0,589,2512,1,1.3908256880733945,1.5132179003007316,17.2064960456865,0.7303271148869056,2,499,184,16.271851088028086,0.9975725778928513,0.7826012444306308,7.989323248265437
0,268816.5,2261.897741675377,0,585,2501,1,1.3609154929577465,1.6333223593045814,19.032244649402735,0.6602673959822982,2,503,177,12.356587263735165,0.9979901438823313,0.7989671085999464,7.962741806916945
0,228275.0,2187.429708123207,0,539,2473,1,1.0723270440251573,1.90012923009528,20.960896848012172,0.5995149303714505,2,512,170,10.048923883928143,0.9982649858080235,0.8196489973938285,7.624337980399199
0,299097.0,2428.365780234337,0,617,2599,1,1.4058919803600656,1.754778550102475,19.71587933885368,0.6373730736723917,2,515,193,13.173900281245354,0.9982221400928509,0.7554754660972651,8.270149008772343
0,212505.5,2046.7951521873474,0,520,2348,1,1.5884861407249466,1.6442162673436687,19.71417396263921,0.6374282096817242,2,515,165,8.71676045531639,0.998395521181984,0.8395152424338082,7.465057552658688
0,10475.5,510.6345554590225,0,115,2382,1,0.6820809248554913,1.9487375304281418,24.891188891111028,0.5048521655326311,2,495,193,10.805728189595403,0.998531020292386,0.7968928373406011,7.852496193983934
0,594582.0,3397.267362713814,0,870,3024,1,1.3866666666666667,1.5873336226121881,19.41099046684977,0.6473843071439405,2,423,218,18.650053863760142,0.9979295233503764,0.6898150035335224,8.886525824281469
0,454004.5,2880.809428691864,0,760,2831,1,1.250338294993234,1.5040291450855663,18.2796931846269,0.6874497557173118,2,462,208,13.563200893319983,0.9983937091097939,0.7336688013251935,8.320126706768502
0,143291.5,1717.5159304141998,0,427,2153,1,1.7234042553191489,1.700366037064306,20.5864337467788,0.6104199867218604,2,526,139,6.151660475597521,0.9984251912576133,0.8856365632632214,6.944254771928016
0,105690.0,1484.1017161607742,0,366,2073,1,1.1039260969976905,1.9583120446589082,20.83979471957002,0.6029987715070185,2,538,126,6.040446707743739,0.9981579957464874,0.8908623564417316,6.9389340118479605
0,200618.0,1918.8712666034698,0,505,2359,1,1.4855875831485588,1.5061958548086414,18.35362199701126,0.6846806922582097,2,515,159,7.758831273167327,0.9984691753506629,0.8472195591095407,7.333064787815866
0,204192.5,2003.5647041797638,0,509,2358,1,1.2887596899224807,1.6804730829976615,19.659250578914232,0.6392090361693332,2,521,156,7.229918193647298,0.9985240321212392,0.8701985678495406,7.025286200927876
0,188943.5,1913.658063530922,0,490,2281,1,1.1964980544747081,1.6730398240743927,19.381916732340187,0.6483554123102405,2,504,153,8.046412200442514,0.9982626132694061,0.8548217665474485,7.264592711788545
0,210006.0,2293.2530806064606,0,517,2483,1,1.719607843137255,2.1297962915345274,25.04218780278193,0.5018080174673548,2,512,166,10.523417461971247,0.9980569037138917,0.8290379574035253,7.617113651059324
0,309505.5,2473.745501756668,0,627,2532,1,1.7650273224043715,1.7188095203477807,19.771593097574517,0.6355770398643675,2,505,186,13.432135443917225,0.9980523254436324,0.7809490154644404,7.840546791889899
0,163695.5,1902.8784074783325,0,456,2355,1,1.2553606237816763,2.0182106410988694,22.120010835039906,0.5680996590857458,2,515,148,9.230259850275312,0.9978712273798243,0.8523756536483111,7.388697325017659
0,210657.5,2119.505825161934,0,517,2369,1,1.5250501002004009,1.8026369818306966,21.325160238279533,0.5892743817137667,2,518,162,7.429636059597383,0.9985561614348526,0.8543800745596806,7.383067024038953
0,174527.0,1829.2732899188995,0,471,2301,1,1.476958525345622,1.5939883227237046,19.173198239875287,0.6554133774210072,2,505,143,6.089779600452331,0.9985398556749339,0.861319693475422,7.2727673817691425
0,251723.5,2360.6672937870026,0,566,2505,1,1.3042071197411003,1.978790220221791,22.138378307768843,0.5676283257816296,2,503,172,9.616291992429266,0.9983365096579311,0.8309264026534715,7.66413496756442
0,334862.5,2810.4561796188354,0,652,2847,1,0.6354869816779171,2.040786890141476,23.587782858808318,0.5327491222714282,2,491,186,11.302826202182356,0.9983354872023198,0.7899414206841187,7.815079853011135
0,274826.5,2337.589086532593,0,591,2464,1,0.5828505214368482,1.5795019767016645,19.882808744703592,0.6320219027257212,2,508,179,9.560332565289926,0.9984675269547897,0.8269680768729163,7.587986667113952
0,471861.5,3095.03482735157,0,775,2930,1,0.6604995374653099,1.6357214987872501,20.300958189043108,0.6190038173243236,2,455,208,15.941327637961182,0.998031061186803,0.7209429202591582,8.364511038254426
0,441016.5,3058.303942799568,0,749,2989,1,0.6419642857142858,1.8259634276722072,21.208328954910723,0.5925205442199382,2,470,204,13.576297821810067,0.9982970032707734,0.7538245433056427,7.998850220705607
0,201744.0,1994.150486588478,0,506,2365,1,0.8652037617554859,1.7456578634308828,19.711298294675746,0.6375212036516892,2,541,160,9.800059868172998,0.9980764930970685,0.8422579561099669,6.526796208162623
0,246744.0,2144.209359407425,0,560,2306,1,0.81,1.6085497519696528,18.63321408816587,0.674407032243578,2,511,166,8.980579583946579,0.9983457568072482,0.8318837477024766,6.949120485107519
0,232251.5,2155.388080239296,0,543,2445,1,0.7216216216216216,1.7014314224020082,20.002875229816116,0.6282282156931044,2,511,166,7.669524866552697,0.9985893638386079,0.8535486393909388,6.887529377751516
